 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 10, 2025 
 ==================================================================

 Disk File Name = /media/data/S2008/Calibrations/SRIM/3He_800mbar_95-5.txt.txt

 Ion = Helium [2] , Mass = 3.003 amu

 Target Density =  1.5820E-04 g/cm3 = 5.1382E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    019.23    010.45   
      C      6    007.69    049.82   
      H      1    073.08    039.73   
 ====================================
 Bragg Correction = -0.91%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  27.50 MeV   4.856E-03  3.622E-06    3.12 m    131.27 mm    30.20 mm  
  30.00 MeV   4.516E-03  3.347E-06    3.65 m    151.64 mm    35.24 mm  
  32.50 MeV   4.224E-03  3.112E-06    4.22 m    172.11 mm    40.62 mm  
  35.00 MeV   3.971E-03  2.909E-06    4.83 m    192.78 mm    46.35 mm  
  37.50 MeV   3.748E-03  2.732E-06    5.48 m    213.72 mm    52.42 mm  
  40.00 MeV   3.551E-03  2.576E-06    6.16 m    234.93 mm    58.82 mm  
  45.00 MeV   3.218E-03  2.314E-06    7.64 m    315.09 mm    72.61 mm  
  50.00 MeV   2.947E-03  2.102E-06    9.27 m    390.44 mm    87.70 mm  
  55.00 MeV   2.721E-03  1.927E-06   11.03 m    464.06 mm   104.05 mm  
  60.00 MeV   2.530E-03  1.780E-06   12.94 m    537.28 mm   121.65 mm  
  65.00 MeV   2.367E-03  1.655E-06   14.98 m    610.76 mm   140.46 mm  
  70.00 MeV   2.225E-03  1.546E-06   17.16 m    684.85 mm   160.47 mm  
  80.00 MeV   1.991E-03  1.368E-06   21.91 m    961.01 mm   204.01 mm  
  90.00 MeV   1.805E-03  1.228E-06   27.18 m      1.22 m    252.12 mm  
 100.00 MeV   1.654E-03  1.115E-06   32.96 m      1.47 m    304.67 mm  
 110.00 MeV   1.529E-03  1.022E-06   39.25 m      1.72 m    361.55 mm  
 120.00 MeV   1.424E-03  9.435E-07   46.02 m      1.97 m    422.64 mm  
 130.00 MeV   1.334E-03  8.766E-07   53.28 m      2.22 m    487.84 mm  
 140.00 MeV   1.255E-03  8.189E-07   61.00 m      2.48 m    557.05 mm  
 150.00 MeV   1.187E-03  7.685E-07   69.19 m      2.74 m    630.18 mm  
 160.00 MeV   1.127E-03  7.242E-07   77.83 m      3.00 m    707.15 mm  
 170.00 MeV   1.073E-03  6.849E-07   86.92 m      3.27 m    787.88 mm  
 180.00 MeV   1.025E-03  6.498E-07   96.46 m      3.54 m    872.28 mm  
 200.00 MeV   9.425E-04  5.897E-07  116.80 m      4.57 m      1.05 m   
 225.00 MeV   8.589E-04  5.290E-07  144.58 m      6.03 m      1.30 m   
 250.00 MeV   7.913E-04  4.800E-07  174.89 m      7.41 m      1.56 m   
 275.00 MeV   7.353E-04  4.396E-07  207.66 m      8.75 m      1.84 m   
 300.00 MeV   6.882E-04  4.056E-07  242.79 m     10.07 m      2.15 m   
 325.00 MeV   6.480E-04  3.767E-07  280.21 m     11.39 m      2.47 m   
 350.00 MeV   6.134E-04  3.517E-07  319.85 m     12.70 m      2.81 m   
 375.00 MeV   5.831E-04  3.300E-07  361.64 m     14.02 m      3.16 m   
 400.00 MeV   5.565E-04  3.108E-07  405.51 m     15.35 m      3.53 m   
 450.00 MeV   5.117E-04  2.787E-07  499.19 m     20.30 m      4.32 m   
 500.00 MeV   4.756E-04  2.528E-07  600.51 m     24.87 m      5.16 m   
 550.00 MeV   4.459E-04  2.314E-07  709.05 m     29.25 m      6.05 m   
 600.00 MeV   4.210E-04  2.135E-07  824.42 m     33.52 m      6.99 m   
 650.00 MeV   3.998E-04  1.982E-07  946.26 m     37.72 m      7.97 m   
 700.00 MeV   3.816E-04  1.850E-07    1.07 km    41.86 m      9.00 m   
 800.00 MeV   3.519E-04  1.634E-07    1.35 km    56.99 m     11.15 m   
 900.00 MeV   3.288E-04  1.465E-07    1.64 km    70.60 m     13.44 m   
   1.00 GeV   3.103E-04  1.328E-07    1.95 km    83.39 m     15.83 m   
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  6.3213E+01                keV / (ug/cm2) 
  6.3213E+01                MeV / (mg/cm2) 
  6.3213E+04                keV / (mg/cm2) 
  1.9462E+02                 eV / (1E15 atoms/cm2)
  2.2599E+01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
